segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail,positive_excess,seller_share,cumulative_positive_excess_share
seller,6f892e20a171e98efe17fdb971ff319b,41,4.0,2.7645562170992126,0.0975609756097561,1.4468868367585996,0.3942279657347306,3.7046049604843865,1.2354437829007874,0.30018750991843174,,False,1.2354437829007874,0.12584803256445048,0.8177186320825848
seller,2156f2671501a81034d7d07f217609d0,20,3.0,1.770567255655766,0.15,1.6943722360260687,0.3494202894125383,4.9516746916768115,1.229432744344234,0.26151087026340775,,False,1.229432744344234,0.12618724559023067,0.8183694154515215
seller,7b1222c3624aa89b9558b50a2594188c,22,3.0,1.7706812782877348,0.13636363636363635,1.6942631272981141,0.34939778856975495,4.951355829672722,1.2293187217122652,0.26154129603083365,,False,1.2293187217122652,0.12652645861601086,0.8190201384641411
seller,0249d282d911d23cb8b869ab49c99f53,10,2.0,0.7715661239130924,0.2,2.592130392994387,0.31391901618952744,9.363666241699503,1.2284338760869076,0.18102535392035848,,False,1.2284338760869076,0.12686567164179105,0.8196703930958593
seller,ccb83a794700270fde70898fe9ff368b,12,2.0,0.7805661245102947,0.16666666666666666,2.562242886539233,0.31029950050153704,9.25570229204672,1.2194338754897052,0.1842397376261049,,False,1.2194338754897052,0.12720488466757124,0.8203158837006423
seller,c42fd8e4d47dfb18ce5222f2dd7752f9,7,2.0,0.7897837390401921,0.2857142857142857,2.532338792427607,0.30667797597139307,9.147678422075357,1.210216260959808,0.18754028103450057,,False,1.210216260959808,0.12754409769335143,0.8209564950875382
seller,714b9a1332840f257b49f476bea4e341,6,2.0,0.7998531662370506,0.3333333333333333,2.500458939744029,0.30281717791210444,9.032517432809406,1.2001468337629495,0.19115508422796298,,False,1.2001468337629495,0.12788331071913162,0.8215917763611891
seller,bd15ee794d5e640d9dd71b665b2ab15b,11,2.0,0.8022434037928228,0.18181818181818182,2.493008967782669,0.3019149517451376,9.005605572532344,1.1977565962071772,0.19201451075825618,,False,1.1977565962071772,0.1282225237449118,0.8222257923953574
seller,59cd88080b93f3c18508673122d26169,9,2.0,0.8122569538925213,0.2222222222222222,2.4622750109008513,0.29819292698356437,8.89458395290013,1.1877430461074787,0.1956203739534111,,False,1.1877430461074787,0.128561736770692,0.8228545078940562
seller,a2b5b6105ea5942300631d2e76f4ffe0,16,2.0,0.8194206562147622,0.125,2.4407488203175336,0.29558600543807173,8.816823951079943,1.1805793437852379,0.19820516981995592,,False,1.1805793437852379,0.12890094979647218,0.8234794313851379
seller,8648b1e89e9b349e32d3741b30ec737e,91,10.0,8.823220682092172,0.10989010989010989,1.1333729893321436,0.5434964021545187,2.0843132802224136,1.1767793179078279,0.3893136896626056,,False,1.1767793179078279,0.12924016282225237,0.8241023433846159
seller,b33e7c55446eabf8fe1a42d037ac7d6d,144,19.0,17.823955641352565,0.13194444444444445,1.065981108925055,0.6417902621922519,1.6646615469995651,1.1760443586474345,0.42128248473829394,1.0,False,1.1760443586474345,0.12957937584803256,0.8247248663434849
seller,f593898ec748b7a8cb81fc04edafd98a,18,3.0,1.824279784168589,0.16666666666666666,1.6444845938843984,0.3391322582558572,4.805881831189609,1.175720215831411,0.2758890420986724,,False,1.175720215831411,0.12991858887381275,0.825347217721798
seller,3b872fd4747f01cc56206f2934198618,25,4.0,2.8320879437009063,0.16,1.4123855189231496,0.38482751782139724,3.6162678839768745,1.1679120562990937,0.3152093341153145,,False,1.1679120562990937,0.13025780189959293,0.8259654359579046
seller,fcdd820084f17e9982427971e4e9d47f,15,2.0,0.8433882119903802,0.13333333333333333,2.3713871874970103,0.28718598991602656,8.566265884454129,1.1566117880096198,0.20688172061977084,,False,1.1566117880096198,0.13059701492537312,0.8265776725519074
seller,6bb0724edf0b62fb91ac404873a97241,17,3.0,1.8463109342598392,0.17647058823529413,1.6248617415043685,0.33508555434278386,4.748535529448621,1.1536890657401608,0.2818095002386653,,False,1.1536890657401608,0.1309362279511533,0.8271883620429443
seller,f84fa566034f5e8e880a07ec624c56af,87,12.0,10.85791210135664,0.13793103448275862,1.1051848539555467,0.5710651413311302,1.9305355258455188,1.1420878986433607,0.4037762803002725,,False,1.1420878986433607,0.13127544097693353,0.8277929106152191
seller,e8b4225284fbb02d16f200513f1f395d,29,3.0,1.8641457693539472,0.10344827586206896,1.6093162076266725,0.33187969152756397,4.7031048826083905,1.1358542306460528,0.2866103166925026,,False,1.1358542306460528,0.13161465400271372,0.8283941594807966
seller,5ee7fd217d08dfe5d3e2f51f96a12c9a,9,2.0,0.8653048444513457,0.2222222222222222,2.3113241683838233,0.27991207965273784,8.349297607717473,1.1346951555486542,0.2148498842625154,,False,1.1346951555486542,0.1319538670284939,0.8289947948058611
seller,c679fb69a36e1d8349e8c50a217b4d58,13,2.0,0.8707193767480963,0.15384615384615385,2.2969512949964024,0.27817145800585236,8.297377847161544,1.1292806232519037,0.21682282105281675,,False,1.1292806232519037,0.1322930800542741,0.8295925640224822
seller,2aa3443d7bf9d9bb11133f420d75e083,10,2.0,0.8724201795837604,0.2,2.292473336591341,0.2776291564685325,8.28120192172873,1.1275798204162397,0.21744288734186068,,False,1.1275798204162397,0.13263229308005428,0.8301894329424383
seller,1f1bb1f0859883505541bdd6606193e5,27,3.0,1.8738308047639702,0.1111111111111111,1.6009983358011255,0.33016434638746905,4.6787965313904945,1.1261691952360298,0.2892200258725866,,False,1.1261691952360298,0.13297150610583447,0.8307855551672937
seller,9bc484c87d79cd4874e05ca182658045,8,2.0,0.882216738218472,0.25,2.2670166109506757,0.2745462288927739,8.189243475830358,1.117783261781528,0.22101737680569694,,False,1.117783261781528,0.13331071913161466,0.8313772384132376
seller,00720abe85ba0859807595bbf045a33b,13,2.0,0.8824580230675858,0.15384615384615385,2.2663967551086834,0.27447116147462874,8.187004343401652,1.1175419769324142,0.22110547570331152,,False,1.1175419769324142,0.13364993215739485,0.8319687939383544
seller,5b07547f10dd980738a1a27f685af669,12,2.0,0.8867693786399251,0.16666666666666666,2.255377833487533,0.2731367189465331,8.14720020982768,1.113230621360075,0.22268012640305726,,False,1.113230621360075,0.13398914518317503,0.8325580673065034
seller,615005a3ef192c00c6f0e977cee3d2bc,9,2.0,0.9016318723701272,0.2222222222222222,2.2182002004239085,0.2686343351053767,8.012901816272715,1.0983681276298727,0.22811482311893364,,False,1.0983681276298727,0.13432835820895522,0.8331394734173458
